t_monotonic,ax,ay,az,gx,gy,gz
233224.115805,0.04,0.965,0.063,-3.33,-2.66,8.21
233224.126186,0.04,0.953,0.089,-1.13,-0.09,9.74
233224.136363,0.055,0.923,0.111,0.49,1.71,10.96
233224.149971,0.074,0.893,0.134,2.41,3.54,11.2
233224.154431,0.094,0.868,0.152,3.88,4.82,10.16
233224.165973,0.104,0.859,0.167,4.52,5.68,8.73
233224.174605,0.108,0.865,0.171,6.1,7.23,7.66
233224.184726,0.113,0.866,0.18,7.6,8.88,6.87
233224.195912,0.115,0.874,0.195,7.75,9.89,5.4
233224.207224,0.114,0.891,0.21,6.81,10.68,4.06
233224.220959,0.112,0.906,0.218,6.32,11.54,2.93
233224.224634,0.12,0.925,0.219,7.26,12.73,1.8
233224.235054,0.131,0.952,0.231,7.54,13.09,1.04
233224.245147,0.142,0.983,0.256,7.14,12.27,0.09
233224.256128,0.156,1.013,0.275,6.93,10.9,-1.28
233224.266047,0.167,1.032,0.304,6.65,9.22,-3.17
233224.278911,0.18,1.031,0.328,8.15,6.81,-5.28
233224.284848,0.195,1.03,0.339,12.09,4.49,-7.11
233224.295133,0.205,1.043,0.364,16.97,2.84,-6.9
233224.305696,0.23,1.059,0.383,24.69,1.46,-4.21
233224.316610,0.274,1.069,0.4,34.3,0.18,-0.34
233224.325741,0.328,1.077,0.406,45.96,-0.98,4.36
233224.338736,0.394,1.074,0.394,57.28,-0.61,9.43
233224.346610,0.476,1.064,0.366,64.03,0.82,14.77
233224.354537,0.569,1.036,0.338,62.38,3.54,18.98
233224.365576,0.661,1.012,0.32,51.79,7.66,21.27
233224.379962,0.741,1.012,0.295,34.46,12.85,22.98
233224.384426,0.805,1.043,0.269,13.18,19.5,26.0
233224.395574,0.857,1.11,0.254,-7.84,27.56,31.56
233224.405181,0.9,1.187,0.255,-23.8,35.98,39.67
233224.416645,0.929,1.248,0.26,-31.34,44.28,50.05
233224.429215,0.951,1.278,0.256,-31.86,53.07,62.11
233224.436410,0.967,1.28,0.246,-29.24,62.87,74.13
233224.445830,0.971,1.256,0.25,-26.64,72.45,84.72
233224.455737,0.956,1.217,0.256,-25.97,80.17,92.68
233224.469708,0.922,1.203,0.229,-29.42,87.25,99.15
233224.476203,0.896,1.22,0.177,-37.78,95.1,106.05
233224.485256,0.887,1.246,0.148,-49.13,103.7,112.49
233224.499287,0.893,1.239,0.167,-58.2,112.0,116.67
233224.505993,0.916,1.186,0.235,-60.4,120.76,114.29
233224.515654,0.925,1.12,0.301,-57.74,122.44,110.57
233224.529694,0.926,1.064,0.316,-52.43,125.61,107.64
233224.534695,0.973,1.027,0.304,-40.99,129.61,104.59
233224.547115,1.072,0.999,0.295,-21.91,131.23,100.07
233224.560154,1.254,0.935,0.309,1.04,127.32,89.18
233224.564937,1.535,0.71,0.26,23.32,117.5,72.63
233224.574689,1.458,0.623,0.16,40.8,104.04,54.54
233224.585534,1.303,0.553,0.049,54.41,92.35,35.74
233224.599055,1.219,0.437,0.017,65.43,83.29,15.72
233224.604750,1.177,0.264,0.05,72.05,70.71,-9.83
233224.615580,1.108,0.082,0.057,75.75,53.1,-42.91
233224.625248,0.933,-0.061,0.034,64.97,30.7,-82.19
233224.639239,0.606,-0.127,-0.007,35.92,6.07,-126.04
233224.646672,0.122,-0.075,-0.147,0.55,-13.28,-169.84
233224.655817,-0.481,0.113,-0.319,-34.73,-23.65,-208.62
233224.665525,-1.023,0.412,-0.453,-66.93,-31.01,-238.23
233224.679311,-1.332,0.606,-0.693,-77.24,-44.53,-257.61
233224.685481,-1.644,0.41,-0.964,-87.31,-65.31,-281.81
233224.696820,-2.05,0.216,-0.792,-154.67,-84.41,-322.98
233224.710049,-2.484,0.375,0.017,-293.47,-89.63,-348.86
233224.715552,-2.699,0.757,1.012,-468.43,-84.14,-321.73
233224.726402,-2.508,1.111,1.439,-587.66,-68.42,-233.31
233224.740908,-1.78,1.322,0.947,-581.07,-47.73,-112.83
233224.745227,-0.768,1.422,0.167,-466.6,-30.37,-12.57
233224.755150,-0.257,1.436,-0.088,-300.91,-24.17,53.38
233224.769409,-0.387,1.236,0.149,-138.65,-20.39,101.5
233224.775212,-0.655,0.886,0.64,0.31,-4.39,124.64
233224.786041,-0.802,0.486,1.024,103.27,10.32,138.83
233224.795737,-0.875,0.151,1.084,157.29,19.38,161.29
233224.809422,-0.894,0.046,0.897,168.86,26.86,176.52
233224.815751,-0.829,0.061,0.714,151.92,34.42,183.51
233224.825721,-0.698,0.139,0.608,128.06,39.31,185.71
233224.839820,-0.565,0.266,0.543,107.79,40.22,184.42
233224.845969,-0.464,0.388,0.481,92.38,39.09,180.15
233224.856092,-0.368,0.469,0.471,80.48,35.04,174.26
233224.869594,-0.252,0.542,0.479,71.2,25.7,168.46
233224.876874,-0.184,0.617,0.466,61.59,11.9,160.89
233224.884887,-0.172,0.687,0.428,48.86,-3.05,153.9
233224.895806,-0.141,0.736,0.376,32.99,-17.12,150.55
233224.910028,-0.094,0.811,0.351,13.92,-30.3,146.4
233224.915093,-0.046,0.876,0.376,-3.81,-42.85,140.48
